order,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,tax
Mycobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales
Propionibacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Propionibacteriales
Pseudonocardiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Pseudonocardiales
Coriobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Coriobacteriia,Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales
Eggerthellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Coriobacteriia,Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Eggerthellales
Miltoncostaeales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Thermoleophilia,Bacteria;Bacteria_none;Actinomycetota;Thermoleophilia;Miltoncostaeales
Bacillales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales
Lactobacillales,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales
Christensenellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Bacteria;Bacteria_none;Bacillota;Clostridia;Christensenellales
Eubacteriales,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales
