class,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,tax
Alphaproteobacteria,0,629,0,0,0,0,23,0,38,0,66,0,0,0,0,0,0,0,155,0,0,0,573,35,1519,Bacteria,Bacteria_none,Pseudomonadota,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria
Betaproteobacteria,1027,15712,306,531,1320,131,3762,12158,12185,27,12447,0,219,0,1668,0,0,2789,1536,367,158,0,752,463,67558,Bacteria,Bacteria_none,Pseudomonadota,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria
Gammaproteobacteria,11187,25808,69155,925,56936,1325,331442,238410,23955,1971,57339,0,25332,0,3193,0,0,113986,1997,1192,8488,2016,18210,92428,1085295,Bacteria,Bacteria_none,Pseudomonadota,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria
Spirochaetia,0,0,20,191,0,0,0,0,0,0,20,0,0,0,0,0,0,0,76,0,69,0,2190,257,2823,Bacteria,Bacteria_none,Spirochaetota,Bacteria;Bacteria_none;Spirochaetota;Spirochaetia
Synergistia,0,0,0,33,0,0,0,71,0,0,15,0,0,0,0,0,0,0,13,0,0,0,744,52,928,Bacteria,Bacteria_none,Synergistota,Bacteria;Bacteria_none;Synergistota;Synergistia
Desulfarculia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,Bacteria,Bacteria_none,Thermodesulfobacteriota,Bacteria;Bacteria_none;Thermodesulfobacteriota;Desulfarculia
Desulfobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,63,Bacteria,Bacteria_none,Thermodesulfobacteriota,Bacteria;Bacteria_none;Thermodesulfobacteriota;Desulfobacteria
Desulfobulbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,126,Bacteria,Bacteria_none,Thermodesulfobacteriota,Bacteria;Bacteria_none;Thermodesulfobacteriota;Desulfobulbia
Desulfovibrionia,0,0,45,171,0,0,96,40,266,66,695,0,0,0,32,0,0,0,113,0,47,11,455,340,2377,Bacteria,Bacteria_none,Thermodesulfobacteriota,Bacteria;Bacteria_none;Thermodesulfobacteriota;Desulfovibrionia
Desulfuromonadia,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,134,0,167,Bacteria,Bacteria_none,Thermodesulfobacteriota,Bacteria;Bacteria_none;Thermodesulfobacteriota;Desulfuromonadia
Syntrophia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,Bacteria,Bacteria_none,Thermodesulfobacteriota,Bacteria;Bacteria_none;Thermodesulfobacteriota;Syntrophia
Opitutia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,Bacteria,Bacteria_none,Verrucomicrobiota,Bacteria;Bacteria_none;Verrucomicrobiota;Opitutia
Verrucomicrobiia,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,94,Bacteria,Bacteria_none,Verrucomicrobiota,Bacteria;Bacteria_none;Verrucomicrobiota;Verrucomicrobiia
Kinetoplastea,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,Eukaryota,Eukaryota_Incertae_sedis,Euglenozoa,Eukaryota;Eukaryota_Incertae_sedis;Euglenozoa;Kinetoplastea
Sordariomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,Eukaryota,Fungi,Ascomycota,Eukaryota;Fungi;Ascomycota;Sordariomycetes
Pucciniomycetes,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Eukaryota,Fungi,Basidiomycota,Eukaryota;Fungi;Basidiomycota;Pucciniomycetes
Mammalia,0,126,15,156,15,0,228,261,71,39,174,0,65,0,17,0,0,100,77,0,91,0,954,102,2491,Eukaryota,Metazoa,Chordata,Eukaryota;Metazoa;Chordata;Mammalia
Unknown,2510,52095,8669,39554,3173,876,43202,107496,23832,20125,61960,50,8270,415,3773,3625,594,26983,35091,623,24435,695,412561,21450,902057,Unclassified,Unknown,Unknown,Unclassified;Unknown;Unknown;Unknown
Caudoviricetes,0,39,1262,0,0,0,140,839,40,0,367,0,2229,0,0,0,0,612,0,904,0,61,93,32,6618,Viruses,Heunggongvirae,Uroviricota,Viruses;Heunggongvirae;Uroviricota;Caudoviricetes
