order,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,tax
Pseudonocardiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Pseudonocardiales
Coriobacteriales,0,0,0,0,0,0,0,131,0,26,91,0,0,0,0,0,0,0,0,0,0,0,113,0,361,Bacteria,Bacteria_none,Actinomycetota,Coriobacteriia,Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales
Eggerthellales,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,23,0,0,0,65,0,331,Bacteria,Bacteria_none,Actinomycetota,Coriobacteriia,Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Eggerthellales
Miltoncostaeales,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Bacteria,Bacteria_none,Actinomycetota,Thermoleophilia,Bacteria;Bacteria_none;Actinomycetota;Thermoleophilia;Miltoncostaeales
Bacillales,0,73,0,0,0,0,489,420,564,0,629,0,95,0,28,0,0,73,0,0,0,0,538,845,3754,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales
Lactobacillales,0,862,65,361,88,0,7004,2508,19,119,627,0,126,0,48,0,0,2202,0,0,115,0,700,28,14872,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales
Christensenellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,Bacteria,Bacteria_none,Bacillota,Clostridia,Bacteria;Bacteria_none;Bacillota;Clostridia;Christensenellales
Eubacteriales,50,43,387,210,0,26,107,2796,0,756,1656,0,24,0,0,0,0,975,2730,0,627,0,3721,0,14108,Bacteria,Bacteria_none,Bacillota,Clostridia,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales
Lachnospirales,15,261,25,74,0,0,259,925,0,0,505,0,0,0,0,0,0,3972,409,0,65,0,789,0,7299,Bacteria,Bacteria_none,Bacillota,Clostridia,Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales
Moorellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,Bacteria,Bacteria_none,Bacillota,Clostridia,Bacteria;Bacteria_none;Bacillota;Clostridia;Moorellales
